@relation 'ant-1.7-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R19,21-weka.filters.unsupervised.attribute.Remove-R11,13,15-16'

@attribute version numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute moa numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute bug numeric

@data
1.7,3,2,0,5,7,1,1,4,3,29,0,0,0,1,0
1.7,16,3,0,15,65,76,0,15,13,483,0,0,0,9,1
1.7,4,4,8,12,5,0,8,4,3,18,1,0,0,1,0
1.7,15,1,0,11,65,75,0,11,11,443,0,0,0,5,0
1.7,11,3,0,3,24,17,0,3,10,309,0,0,0,11,0
1.7,2,3,0,1,3,1,1,0,2,7,0,1,1,1,0
1.7,15,3,0,9,41,0,0,9,15,204,1,1,2,2,0
1.7,14,4,3,11,29,85,3,8,11,108,1,0,0,4,0
1.7,27,3,0,8,101,157,5,3,15,1286,1,1,7,4,1
1.7,5,4,0,8,23,4,4,8,5,249,0,2,2,1,0
1.7,3,1,0,2,3,3,2,0,3,4,0,0,0,1,0
1.7,4,5,0,5,19,6,0,5,4,57,0,2,4,2,0
1.7,6,1,0,2,11,3,1,1,4,53,0,0,0,1,0
1.7,55,3,8,20,106,1313,8,12,9,1133,2,0,0,10,0
1.7,3,2,0,4,19,3,0,4,2,136,0,0,0,2,0
1.7,8,1,0,4,22,0,0,4,6,169,0,0,0,7,0
1.7,11,2,0,1,23,39,1,0,10,136,0,1,1,1,0
1.7,10,1,0,10,29,43,7,3,8,91,1,0,0,3,0
1.7,1,3,0,1,2,0,0,1,1,4,0,0,0,0,0
1.7,3,2,1,12,22,3,2,10,2,72,0,0,0,1,0
1.7,9,1,0,32,36,36,32,0,7,281,0,0,0,11,0
1.7,7,1,0,24,8,3,24,0,7,43,0,0,0,1,0
1.7,9,1,1,4,19,30,1,3,7,130,0,0,0,4,0
1.7,63,1,2,61,144,1603,51,10,31,2303,2,0,0,35,3
1.7,6,3,2,20,13,7,17,3,3,56,1,1,4,1,0
1.7,2,1,0,6,2,1,6,0,2,2,0,0,0,1,0
1.7,22,3,0,5,47,159,0,5,19,365,1,2,2,9,0
1.7,17,5,0,9,34,118,2,7,17,137,1,3,5,2,1
1.7,12,3,0,15,99,18,1,14,8,804,1,2,2,18,2
1.7,10,2,0,3,30,27,1,2,5,245,1,1,1,2,0
1.7,2,3,0,9,20,1,2,7,1,128,0,1,3,9,1
1.7,43,3,1,25,120,451,9,16,30,920,5,0,0,15,1
1.7,22,2,28,37,44,183,31,6,7,271,1,1,2,3,0
1.7,34,5,2,15,67,295,4,11,29,586,1,3,15,5,3
1.7,2,3,0,3,4,1,1,2,1,19,0,2,2,1,0
1.7,3,1,0,3,6,3,1,2,2,16,0,0,0,1,0
1.7,4,3,0,3,16,2,0,3,4,76,0,1,1,3,0
1.7,11,3,0,8,26,0,0,8,11,76,1,2,2,1,0
1.7,4,1,0,7,20,4,4,3,2,187,0,0,0,9,1
1.7,56,2,2,51,169,1200,37,16,35,1842,2,1,5,14,6
1.7,5,5,0,8,16,0,5,3,3,105,1,1,1,9,0
1.7,5,1,0,3,41,10,1,2,4,241,0,0,0,7,0
1.7,7,1,0,3,26,0,1,2,7,218,0,0,0,5,0
1.7,17,5,0,6,35,130,0,6,12,207,0,2,3,3,1
1.7,4,1,0,6,33,0,1,5,2,157,1,0,0,2,0
1.7,5,3,0,6,26,0,0,6,4,141,0,0,0,1,0
1.7,9,4,0,11,54,10,1,11,7,345,0,1,1,1,4
1.7,3,2,0,1,10,0,0,1,1,67,1,1,1,1,0
1.7,6,1,0,3,10,0,0,3,6,52,1,0,0,2,0
1.7,4,5,0,7,15,0,6,2,4,77,0,1,1,5,0
1.7,4,1,0,2,6,0,0,2,4,19,0,0,0,1,0
1.7,9,1,1,4,32,34,1,3,0,145,1,0,0,1,0
1.7,8,5,0,11,31,0,6,5,8,329,1,1,4,19,0
1.7,15,4,0,14,83,47,0,14,8,566,1,2,2,4,0
1.7,1,1,0,3,1,0,3,1,1,1,0,0,0,1,0
1.7,17,1,0,8,67,90,7,1,13,878,1,0,0,11,0
1.7,24,4,2,7,50,270,2,5,20,250,1,2,15,5,0
1.7,4,1,0,8,20,0,4,4,4,106,1,0,0,5,0
1.7,27,2,0,11,53,229,8,3,23,405,0,1,1,6,1
1.7,10,3,0,8,32,15,2,6,10,166,1,1,1,3,0
1.7,1,1,0,4,1,0,3,1,1,1,0,0,0,1,0
1.7,10,4,0,15,36,3,6,9,10,249,2,1,3,7,0
1.7,11,4,3,12,41,19,3,9,9,240,0,0,0,4,0
1.7,12,1,0,3,22,44,1,2,5,156,1,0,0,4,0
1.7,12,3,0,14,58,0,0,14,11,303,1,2,3,3,1
1.7,2,3,0,3,8,1,1,3,2,33,0,0,0,1,0
1.7,15,3,0,10,77,41,0,10,12,725,3,1,1,2,3
1.7,7,3,0,4,38,0,0,4,3,258,1,1,1,1,0
1.7,4,1,0,6,4,6,5,1,4,4,0,0,0,1,0
1.7,4,4,0,5,8,4,2,3,3,42,1,1,1,2,0
1.7,21,4,2,9,55,162,4,5,18,361,1,2,9,6,0
1.7,4,4,0,3,12,0,0,3,3,55,0,1,1,4,0
1.7,19,1,2,9,21,145,4,5,18,143,3,0,0,1,1
1.7,12,3,0,11,75,44,1,11,7,455,0,0,0,4,0
1.7,6,1,0,9,6,15,8,1,6,10,0,0,0,1,0
1.7,3,5,0,7,14,3,6,2,3,52,0,1,1,3,0
1.7,7,2,0,5,27,0,1,4,7,115,0,0,0,4,0
1.7,14,3,2,8,38,83,2,6,8,220,1,1,1,4,2
1.7,11,2,3,11,39,7,9,2,10,605,1,0,0,15,0
1.7,17,1,0,2,81,100,1,1,9,654,0,0,0,7,0
1.7,2,2,1,17,14,0,13,5,2,103,1,0,0,1,0
1.7,15,3,0,25,44,45,16,10,13,311,3,1,1,6,0
1.7,29,2,102,184,66,346,181,8,19,375,3,1,1,5,0
1.7,34,4,0,10,92,39,0,10,29,710,2,3,4,5,1
1.7,4,1,0,2,13,6,1,1,4,45,0,0,0,2,0
1.7,7,1,0,15,23,5,7,8,6,148,2,0,0,3,0
1.7,19,4,0,8,84,103,0,8,14,1034,1,0,0,1,0
1.7,1,3,0,1,2,0,0,1,1,5,0,0,0,0,0
1.7,8,5,0,10,23,0,6,4,8,197,0,1,4,6,0
1.7,15,1,0,7,34,75,2,5,11,286,0,0,0,5,0
1.7,6,1,1,8,22,15,3,5,3,163,0,0,0,4,0
1.7,4,3,0,3,18,4,0,3,3,111,0,2,2,2,0
1.7,7,1,0,16,7,21,15,1,7,7,0,0,0,1,1
1.7,2,1,0,2,8,1,1,1,2,48,0,0,0,1,0
1.7,0,1,0,1,0,0,1,0,0,48,0,0,0,0,0
1.7,24,4,0,7,43,222,0,7,20,309,0,2,2,8,0
1.7,3,1,0,1,4,1,1,0,3,14,0,0,0,1,0
1.7,4,4,0,3,7,0,1,2,4,161,0,2,4,1,0
1.7,1,7,0,1,7,0,0,1,1,40,0,0,0,0,0
1.7,4,2,0,8,10,0,6,2,4,125,0,0,0,2,0
1.7,14,5,0,7,49,7,1,6,7,488,0,2,5,12,1
1.7,3,1,0,3,18,0,2,1,3,204,0,0,0,2,0
1.7,4,4,12,15,7,4,12,3,3,22,1,0,0,1,0
1.7,8,4,2,9,24,8,2,7,6,143,3,1,3,4,0
1.7,9,2,0,4,19,10,1,3,6,159,1,1,1,3,0
1.7,3,4,0,4,9,3,1,3,3,27,0,0,0,3,0
1.7,22,3,0,13,80,59,0,13,17,678,1,1,1,8,0
1.7,11,4,2,8,38,45,2,6,6,202,0,0,0,6,0
1.7,4,4,0,4,13,0,1,3,4,87,0,2,4,1,0
1.7,12,1,0,2,42,0,1,1,12,234,0,0,0,4,0
1.7,5,1,0,2,7,4,2,0,0,39,0,0,0,1,0
1.7,12,5,0,10,52,60,2,9,10,213,0,3,6,4,0
1.7,5,1,0,31,5,10,31,0,5,5,0,0,0,1,0
1.7,19,1,0,23,69,81,11,12,14,517,4,0,0,6,0
1.7,4,2,0,1,15,6,0,1,1,49,0,1,1,1,0
1.7,1,4,0,1,3,0,1,0,1,6,0,0,0,0,0
1.7,14,3,0,17,48,41,1,16,11,384,2,1,1,26,1
1.7,2,4,0,2,4,1,0,2,1,20,0,1,1,3,0
1.7,3,1,0,2,13,1,1,1,3,76,1,0,0,4,0
1.7,7,3,0,9,39,1,0,9,7,260,2,2,2,1,1
1.7,7,3,3,12,26,9,3,9,4,106,0,0,0,3,0
1.7,1,1,0,1,1,0,1,0,1,2,0,0,0,1,0
1.7,6,4,0,9,33,0,0,9,6,205,1,2,4,1,0
1.7,11,2,0,17,15,13,15,3,11,97,3,0,0,1,0
1.7,2,2,0,3,13,1,1,2,2,48,0,0,0,5,0
1.7,24,4,0,45,68,244,41,6,22,397,1,2,14,6,2
1.7,25,1,1,13,59,248,9,4,20,290,1,0,0,6,0
1.7,3,2,0,5,12,3,1,4,1,40,0,0,0,1,0
1.7,9,1,0,5,57,34,2,3,2,566,0,0,0,2,1
1.7,3,2,0,4,6,0,1,3,3,30,0,0,0,2,0
1.7,49,4,1,31,210,844,1,30,28,2937,2,0,0,13,8
1.7,6,5,2,8,21,15,2,6,5,83,0,1,1,3,1
1.7,7,3,0,11,28,0,2,9,7,122,0,1,1,1,0
1.7,3,4,0,4,9,3,1,3,3,27,0,0,0,3,0
1.7,1,1,0,2,1,0,2,0,0,2064,0,0,0,0,0
1.7,8,1,2,5,22,6,4,1,6,185,0,0,0,4,3
1.7,11,6,0,6,34,39,0,6,7,195,1,4,10,5,2
1.7,8,4,0,6,26,22,0,6,6,95,0,1,1,2,0
1.7,12,1,0,8,34,26,6,3,6,341,0,0,0,1,0
1.7,7,1,0,5,16,0,0,5,6,86,0,0,0,1,0
1.7,2,3,0,3,15,1,0,3,0,58,0,1,1,1,0
1.7,1,1,0,26,1,0,25,1,1,1,0,0,0,1,0
1.7,14,1,0,30,96,87,8,23,10,905,2,0,0,10,1
1.7,21,1,2,14,47,124,10,4,18,575,0,0,0,10,0
1.7,5,3,3,6,12,2,4,2,5,48,0,0,0,1,0
1.7,13,2,0,8,37,60,1,8,7,331,0,2,3,4,0
1.7,6,4,0,5,25,15,0,5,5,94,0,1,1,3,0
1.7,0,1,0,4,0,0,2,2,0,0,0,0,0,0,0
1.7,6,2,0,4,34,11,0,4,5,236,1,1,2,6,1
1.7,5,4,0,6,17,6,2,6,5,94,0,2,2,3,0
1.7,24,4,0,14,85,180,0,14,13,741,0,2,2,7,4
1.7,3,1,0,12,38,3,1,11,2,182,0,0,0,12,0
1.7,39,1,0,21,94,461,11,11,33,559,6,0,0,7,0
1.7,4,4,0,4,20,0,1,3,4,162,0,2,4,1,0
1.7,20,4,0,7,42,148,0,7,15,263,0,2,3,6,0
1.7,1,4,0,1,2,0,0,1,1,4,0,0,0,0,0
1.7,9,1,1,63,15,14,61,2,9,103,1,0,0,1,0
1.7,10,5,0,6,29,0,1,5,7,212,0,2,5,5,0
1.7,1,1,0,0,2,0,0,0,1,16,0,0,0,0,1
1.7,22,3,0,12,71,163,1,11,17,783,5,2,2,22,1
1.7,6,5,0,8,21,0,5,3,6,104,0,2,5,4,0
1.7,10,3,0,2,20,21,0,2,9,129,0,1,1,1,0
1.7,5,3,9,18,12,10,16,2,4,62,0,1,1,5,0
1.7,2,4,0,2,4,1,0,2,1,20,0,1,1,3,0
1.7,7,5,0,4,18,0,1,3,5,126,0,2,5,5,0
1.7,2,2,0,8,34,1,1,7,2,346,0,1,1,1,0
1.7,3,1,0,69,3,3,69,0,3,3,0,0,0,1,0
1.7,6,5,0,1,12,15,1,0,6,74,0,2,7,3,0
1.7,31,3,0,29,119,277,19,15,19,900,0,1,5,16,3
1.7,24,4,0,13,103,176,1,12,18,1046,1,0,0,6,2
1.7,33,2,0,15,130,434,2,14,23,1220,2,1,5,26,0
1.7,5,3,0,4,15,4,0,4,5,90,0,0,0,1,0
1.7,3,1,0,11,28,3,1,10,2,111,0,0,0,7,0
1.7,2,2,0,2,15,1,0,2,2,73,0,0,0,6,0
1.7,1,5,0,1,3,0,0,1,1,7,0,0,0,0,0
1.7,13,3,4,12,42,54,5,7,8,233,1,1,3,6,1
1.7,4,4,0,6,29,6,0,6,1,164,0,3,5,7,0
1.7,4,1,1,2,7,4,2,0,3,502,0,0,0,4,0
1.7,13,1,2,12,37,56,4,10,4,269,2,0,0,7,0
1.7,4,4,0,3,11,0,0,3,4,84,0,0,0,12,0
1.7,21,4,0,15,72,54,1,14,16,457,2,2,2,3,2
1.7,3,1,0,5,3,3,4,2,3,8,0,0,0,1,0
1.7,3,4,0,3,19,3,0,3,1,83,0,1,1,4,0
1.7,77,4,1,29,123,2700,14,17,68,1021,6,1,1,14,3
1.7,1,1,0,4,1,0,4,0,1,1,0,0,0,1,0
1.7,4,1,0,5,10,0,1,4,4,36,0,0,0,1,0
1.7,6,4,0,3,20,15,0,3,5,106,0,1,2,4,0
1.7,17,2,2,9,51,28,5,4,12,344,2,2,4,5,2
1.7,4,2,0,5,9,0,5,1,4,27,0,1,1,1,0
1.7,11,4,0,8,45,15,1,7,11,279,2,3,6,10,1
1.7,13,2,0,8,49,54,1,7,7,450,0,2,6,6,1
1.7,24,1,0,24,24,276,4,20,24,24,0,0,0,1,0
1.7,5,2,0,7,69,8,1,7,2,379,0,0,0,12,4
1.7,15,1,0,3,29,55,3,0,15,161,1,1,1,3,0
1.7,5,1,0,9,13,0,8,1,5,69,0,0,0,3,0
1.7,3,1,0,2,21,1,0,2,2,120,0,0,0,6,0
1.7,5,3,0,7,26,6,2,5,5,193,0,0,0,5,1
1.7,7,4,0,3,26,9,1,2,7,210,0,2,2,13,1
1.7,14,1,0,10,53,0,8,8,14,419,0,0,0,7,0
1.7,26,4,0,7,50,271,0,7,20,392,0,2,3,9,0
1.7,44,4,0,28,137,774,4,26,31,1254,9,4,6,5,2
1.7,5,1,0,7,5,10,6,1,5,5,0,0,0,1,0
1.7,26,4,0,12,109,233,1,12,20,881,1,2,2,4,8
1.7,17,4,0,7,39,100,0,7,14,241,0,2,3,7,0
1.7,58,1,0,142,158,1627,134,12,56,1752,1,0,0,17,4
1.7,23,1,0,4,56,107,3,2,18,689,2,0,0,7,3
1.7,11,3,0,4,29,17,0,4,8,224,1,1,1,3,0
1.7,8,1,0,6,24,0,1,5,6,133,0,0,0,6,0
1.7,5,2,0,8,16,8,1,7,1,77,0,1,2,2,0
1.7,4,3,0,5,7,0,3,2,4,33,0,0,0,2,1
1.7,6,1,0,2,11,3,1,1,6,51,0,0,0,1,0
1.7,7,1,0,4,41,15,1,3,6,388,0,0,0,3,2
1.7,10,5,0,5,30,0,1,4,6,328,1,2,5,12,0
1.7,4,2,0,3,26,0,0,3,1,115,0,2,3,1,0
1.7,17,3,0,18,53,86,4,18,14,348,2,1,1,8,1
1.7,13,5,0,9,34,68,6,4,12,199,0,2,8,5,0
1.7,3,2,0,1,17,0,0,1,1,251,0,1,3,11,0
1.7,3,1,0,1,7,0,1,0,3,58,0,0,0,4,0
1.7,6,2,0,9,16,11,1,8,5,195,11,1,1,3,0
1.7,13,3,13,24,45,46,13,11,9,189,0,0,0,3,0
1.7,13,4,0,7,37,66,0,7,9,184,0,2,3,4,0
1.7,8,3,0,7,25,12,0,7,8,133,2,1,1,3,0
1.7,29,3,0,25,109,268,1,25,20,879,6,1,1,29,4
1.7,3,1,0,6,17,0,1,5,2,156,1,0,0,9,0
1.7,4,4,0,4,7,0,0,4,3,34,0,1,1,2,0
1.7,20,1,0,5,21,130,3,2,20,125,0,0,0,4,0
1.7,16,1,0,29,40,72,27,2,11,463,1,0,0,5,0
1.7,1,1,0,0,2,0,0,0,1,15,0,0,0,0,0
1.7,13,3,2,9,36,62,2,7,8,202,1,0,0,5,1
1.7,1,1,0,7,1,0,4,3,1,1,0,0,0,1,0
1.7,8,1,0,1,14,28,1,0,8,271,0,0,0,7,0
1.7,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0
1.7,5,1,0,6,10,0,2,4,4,74,3,0,0,5,0
1.7,12,3,0,13,32,0,6,7,10,192,0,1,1,4,0
1.7,25,1,0,15,108,244,0,15,15,712,4,0,0,8,2
1.7,3,5,0,3,7,0,3,0,3,27,0,0,0,1,0
1.7,2,4,0,2,9,1,0,2,2,22,0,1,1,1,0
1.7,11,1,0,8,75,53,7,1,9,968,0,0,0,17,4
1.7,3,3,0,2,11,3,1,1,3,25,0,2,2,1,0
1.7,9,4,0,5,20,28,0,5,9,156,0,2,2,1,0
1.7,26,6,0,5,42,233,0,5,19,269,0,1,7,3,0
1.7,7,3,0,7,28,0,0,7,6,191,1,0,0,2,0
1.7,1,1,0,4,1,0,3,1,1,1,0,0,0,1,0
1.7,5,1,0,3,6,6,3,0,5,24,0,0,0,1,0
1.7,6,3,0,5,27,3,1,5,4,135,0,0,0,2,0
1.7,5,3,0,5,16,0,1,5,5,82,2,1,1,3,0
1.7,8,3,0,13,57,4,0,13,7,377,1,1,1,7,0
1.7,7,1,0,2,7,21,2,0,7,7,0,0,0,1,0
1.7,21,6,1,10,42,126,2,8,15,274,0,5,19,4,0
1.7,28,2,0,12,97,302,1,11,16,1230,0,2,8,20,0
1.7,0,1,0,1,0,0,1,0,0,25,0,0,0,0,0
1.7,3,2,0,5,12,3,1,4,2,44,0,1,1,1,0
1.7,3,4,0,4,10,0,0,4,3,55,0,1,1,1,0
1.7,14,3,0,10,90,63,1,10,9,615,0,1,1,3,0
1.7,4,2,0,4,15,0,1,3,4,105,0,0,0,1,0
1.7,6,3,0,5,21,3,0,5,5,104,1,1,1,1,0
1.7,1,1,0,3,1,0,2,1,1,1,0,0,0,1,0
1.7,2,1,0,6,30,0,0,6,0,182,2,0,0,9,0
1.7,7,1,7,14,24,11,10,12,7,124,0,0,0,1,0
1.7,4,2,0,2,12,0,1,1,3,68,1,1,1,1,0
1.7,8,2,0,6,15,6,0,6,8,122,1,0,0,2,0
1.7,10,3,0,5,45,21,1,5,7,359,0,0,0,2,0
1.7,4,1,0,5,4,6,3,3,4,4,0,0,0,1,0
1.7,6,1,0,1,8,0,0,1,6,43,1,0,0,1,0
1.7,13,1,0,7,40,58,0,7,11,292,0,0,0,10,0
1.7,6,1,0,4,15,3,1,3,5,70,1,0,0,1,0
1.7,20,4,0,7,39,148,0,7,16,285,0,2,2,5,0
1.7,2,2,0,1,6,1,0,1,1,20,0,1,1,1,0
1.7,18,1,0,10,47,145,8,2,15,1004,2,0,0,47,1
1.7,31,3,0,16,79,365,4,14,29,466,3,0,0,4,0
1.7,2,4,0,3,5,1,0,3,2,12,0,0,0,1,0
1.7,12,2,0,7,37,44,0,7,9,231,2,0,0,5,0
1.7,8,3,0,5,30,8,0,5,7,214,1,2,2,6,0
1.7,3,4,0,3,20,3,0,3,1,82,0,1,1,6,0
1.7,14,1,0,4,43,81,1,3,11,230,0,0,0,5,0
1.7,11,2,1,8,27,21,2,7,9,94,1,2,3,1,0
1.7,3,3,2,8,6,1,7,1,3,25,0,1,1,3,0
1.7,9,4,0,10,64,22,1,9,1,791,0,4,9,23,1
1.7,6,1,0,3,11,1,1,2,6,74,0,0,0,1,0
1.7,5,2,2,9,10,6,7,2,4,185,6,1,1,5,0
1.7,4,1,0,13,14,6,0,13,4,56,1,0,0,1,0
1.7,35,1,0,32,120,417,20,28,24,2098,0,0,0,19,4
1.7,1,1,0,3,1,0,2,1,1,1,0,0,0,1,0
1.7,15,4,0,13,87,69,0,13,10,498,0,3,5,7,2
1.7,7,2,0,4,21,3,2,4,7,108,0,1,1,2,0
1.7,12,1,0,4,41,0,3,1,3,381,0,0,0,3,1
1.7,1,1,0,2,1,0,2,0,1,1,0,0,0,1,0
1.7,13,4,0,6,72,22,0,6,8,623,2,1,2,1,1
1.7,41,2,0,6,60,402,3,3,8,4541,2,1,1,47,6
1.7,13,1,0,27,23,68,25,2,12,400,0,0,0,50,1
1.7,16,1,0,13,31,76,5,8,13,165,2,0,0,4,0
1.7,12,3,0,6,30,30,0,6,8,282,1,1,1,6,0
1.7,4,1,0,4,5,0,3,1,4,24,0,0,0,1,0
1.7,21,4,0,15,76,152,5,14,16,573,2,1,1,23,1
1.7,9,3,0,5,18,14,1,4,8,90,1,0,0,1,1
1.7,14,3,0,7,46,27,0,7,8,372,0,1,1,5,0
1.7,0,1,0,1,0,0,1,0,0,26,0,0,0,0,0
1.7,7,2,0,3,30,9,0,3,5,278,0,0,0,3,0
1.7,6,3,0,4,17,0,0,4,6,131,0,2,2,1,0
1.7,7,5,0,4,17,0,1,3,5,107,0,2,5,5,0
1.7,1,5,0,1,2,0,0,1,1,4,0,0,0,0,0
1.7,18,1,4,14,42,113,7,7,12,356,0,0,0,11,3
1.7,12,1,0,19,33,66,13,7,10,261,0,0,0,8,0
1.7,4,4,1,11,20,0,2,9,2,75,1,2,5,3,2
1.7,8,4,0,5,39,4,0,5,7,274,0,4,4,5,0
1.7,22,3,0,14,62,133,10,5,17,625,0,2,3,9,0
1.7,4,1,1,8,10,0,6,2,4,51,0,0,0,1,0
1.7,15,2,0,18,66,77,9,13,2,315,3,1,1,2,0
1.7,16,3,1,18,80,86,1,17,11,631,3,2,2,4,4
1.7,28,4,5,23,45,348,5,23,28,204,0,0,0,4,1
1.7,1,1,0,5,1,0,4,2,1,1,0,0,0,1,0
1.7,7,4,0,13,26,0,6,7,7,198,2,1,3,5,0
1.7,3,2,0,3,10,0,2,1,3,44,0,1,1,4,0
1.7,4,3,0,6,15,2,0,6,4,85,0,0,0,6,1
1.7,31,1,0,5,70,407,2,3,13,615,2,0,0,11,0
1.7,3,3,0,2,11,3,1,1,3,25,0,2,2,1,0
1.7,4,2,0,4,13,0,1,3,4,85,0,0,0,1,0
1.7,4,5,0,5,7,0,3,2,4,29,0,0,0,1,0
1.7,28,1,0,34,63,200,29,7,24,528,2,0,0,8,1
1.7,6,1,0,3,11,0,0,3,6,56,0,0,0,3,0
1.7,5,1,0,3,9,0,1,2,5,64,0,0,0,1,0
1.7,3,1,0,7,3,3,2,5,3,3,0,0,0,1,0
1.7,10,1,28,67,14,35,66,2,10,75,2,0,0,3,0
1.7,8,5,0,5,26,0,1,4,5,172,0,2,5,4,0
1.7,23,6,0,4,42,185,0,4,15,249,0,1,7,3,0
1.7,1,1,0,9,1,0,8,1,1,1,0,0,0,1,0
1.7,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0
1.7,8,2,1,8,15,20,5,3,7,136,4,1,1,7,0
1.7,5,4,0,5,21,10,0,5,4,71,0,1,1,2,0
1.7,21,1,0,2,36,38,2,0,17,620,0,0,0,3,1
1.7,4,6,0,8,13,6,6,2,4,44,0,2,3,2,0
1.7,3,2,0,3,31,3,0,3,1,202,0,1,2,14,0
1.7,14,4,0,25,59,67,3,25,8,304,5,1,2,4,3
1.7,31,5,0,7,51,381,0,7,20,376,0,2,4,4,0
1.7,3,5,0,10,12,1,6,4,3,76,0,1,1,4,0
1.7,3,1,0,1,5,0,1,0,3,45,0,0,0,2,0
1.7,11,5,0,8,49,21,2,6,9,265,0,2,4,7,0
1.7,7,4,0,4,14,15,1,4,5,56,0,1,1,1,0
1.7,1,1,0,4,1,0,3,1,1,1,0,0,0,1,0
1.7,45,3,2,25,157,744,4,22,27,1828,2,1,1,19,5
1.7,3,1,1,1,6,1,1,0,2,22,0,0,0,1,0
1.7,6,3,0,3,32,0,0,3,5,1254,0,1,1,2,0
1.7,5,2,2,3,8,8,2,1,3,101,5,1,1,1,0
1.7,18,3,0,6,55,79,0,6,15,322,3,1,1,3,0
1.7,2,4,0,2,4,1,0,2,1,12,0,1,1,1,0
1.7,24,3,0,21,96,246,9,13,20,610,1,1,1,14,0
1.7,9,3,0,7,20,12,5,6,9,75,0,0,0,1,0
1.7,7,1,0,5,19,21,2,3,7,105,0,1,1,8,4
1.7,120,1,0,365,288,6692,352,30,103,2384,5,0,0,6,10
1.7,7,1,0,2,24,19,1,1,3,373,0,0,0,6,0
1.7,30,4,0,10,100,271,4,10,16,788,3,2,2,3,3
1.7,11,4,0,7,33,37,0,7,8,178,0,2,3,4,0
1.7,10,1,0,3,13,31,1,2,10,76,1,0,0,2,1
1.7,17,4,0,3,58,108,0,3,9,345,1,2,6,4,0
1.7,34,3,0,112,112,461,101,13,28,1021,3,2,6,7,1
1.7,22,4,0,7,45,183,0,7,18,307,0,2,3,11,0
1.7,8,3,0,10,15,0,6,4,5,110,2,0,0,2,0
1.7,9,1,0,5,24,4,5,0,3,156,0,0,0,6,0
1.7,11,3,0,9,38,29,0,9,9,260,3,3,3,2,0
1.7,2,2,0,8,26,1,1,7,2,149,0,0,0,1,0
1.7,6,2,0,7,31,3,1,7,5,123,1,0,0,2,0
1.7,20,1,0,5,54,138,1,4,13,703,6,0,0,11,0
1.7,8,3,0,5,25,16,1,5,7,152,0,0,0,3,0
1.7,16,4,0,7,38,84,0,7,14,234,0,2,3,6,0
1.7,27,4,0,13,118,265,0,13,12,1542,3,1,1,10,2
1.7,15,3,15,27,41,57,17,11,13,312,0,0,0,4,0
1.7,15,3,0,3,39,41,1,2,14,469,1,1,2,1,1
1.7,12,3,0,15,47,44,9,8,6,240,1,1,3,6,0
1.7,9,2,1,6,50,24,2,4,5,404,0,1,3,2,1
1.7,5,1,0,11,5,10,7,4,5,5,0,0,0,1,0
